,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
7688,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-033,Issued,9248,China
7689,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-032,Issued,9248,China
7690,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-031,Issued,9248,China
7691,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-030,Issued,9248,China
7692,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-029,Issued,9248,China
7693,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-028,Issued,9248,China
7694,Chengdu Oasis Science & Technology Co Ltd,"Biomass, or Liquid Biofuel - Heat",GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-027,Issued,9248,China
7695,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-026,Issued,9248,China
7696,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-025,Issued,9248,China
7697,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-024,Issued,9248,China
7698,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-023,Issued,9248,China
7699,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-022,Issued,9248,China
7700,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-021,Issued,9248,China
7701,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-020,Issued,9248,China
7702,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-019,Issued,9248,China
7703,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-018,Issued,9248,China
7704,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-017,Issued,9248,China
7705,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-016,Issued,9248,China
7706,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-015,Issued,9248,China
7707,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-014,Issued,9248,China
7708,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-013,Issued,9248,China
7709,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-012,Issued,9248,China
7710,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-011,Issued,9248,China
7711,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-010,Issued,9624,China
7712,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-009,Issued,9624,China
7713,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-008,Issued,9624,China
7714,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-007,Issued,9624,China
7715,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-006,Issued,9624,China
7716,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-005,Issued,9624,China
7717,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-004,Issued,9624,China
7718,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-003,Issued,9624,China
7719,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002,Issued,9624,China
7720,Chengdu Oasis Science & Technology Co Ltd,"Biomass, or Liquid Biofuel - Heat",Sichuan Rural Poor-Household Biogas Development Programme CPA Nb. SCHHBG-2010-01,Issued,2113,China
7721,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-087,Issued,9572,China
7722,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-086,Issued,9407,China
7723,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-085,Issued,9325,China
7724,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-084,Issued,9650,China
7725,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-083,Issued,9345,China
7726,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-082,Issued,8254,China
7727,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-081,Issued,9325,China
7728,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-080,Issued,9325,China
7729,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-079,Issued,9325,China
7730,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-078,Issued,9325,China
7731,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-077,Issued,9325,China
7732,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-076,Issued,9325,China
7733,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-075,Issued,9325,China
7734,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2014-074,Issued,9720,China
7735,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-073,Issued,6917,China
7736,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-072,Issued,9507,China
7737,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-071,Issued,9339,China
7738,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-070,Issued,9325,China
7739,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-069,Issued,9325,China
7740,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-068,Issued,9202,China
7741,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-067,Issued,9325,China
7742,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-066,Issued,9720,China
7743,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-065,Issued,9720,China
7744,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-064,Issued,9325,China
7745,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-063,Issued,9325,China
7746,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-062,Issued,9325,China
7747,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-061,Issued,9325,China
7748,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-060,Issued,9325,China
7749,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-059,Issued,9325,China
7750,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-058,Issued,9325,China
7751,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-057,Issued,9325,China
7752,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-056,Issued,9325,China
7753,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-055,Issued,9325,China
7754,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2013-054,Issued,9325,China
7755,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-053,Issued,9402,China
7756,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-052,Issued,8062,China
7757,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-051,Issued,9325,China
7758,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-050,Issued,9325,China
7759,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,Issued,9720,China
7760,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-048,Issued,9720,China
7761,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-047,Issued,9720,China
7762,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-046,Issued,9325,China
7763,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-045,Issued,9325,China
7764,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-044,Issued,9325,China
7765,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-043,Issued,9325,China
7766,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-042,Issued,9325,China
7767,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-041,Issued,9325,China
7768,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-040,Issued,9325,China
7769,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-039,Issued,9325,China
7770,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-038,Issued,9325,China
7771,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-037,Issued,9325,China
7772,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-036,Issued,9325,China
7773,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-035,Issued,9325,China
7774,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-034,Issued,9325,China
7775,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-033,Issued,9325,China
7776,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-032,Issued,9325,China
7777,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-031,Issued,9325,China
7778,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-030,Issued,9325,China
7779,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-029,Issued,9325,China
7780,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-028,Issued,9325,China
7781,Chengdu Oasis Science & Technology Co Ltd,"Biomass, or Liquid Biofuel - Heat",GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-027,Issued,9325,China
7782,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-026,Issued,9325,China
7783,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-025,Issued,9325,China
7784,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-024,Issued,9325,China
7785,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-023,Issued,9325,China
7786,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-022,Issued,9325,China
7787,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-021,Issued,9325,China
7788,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-020,Issued,9325,China
7789,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-019,Issued,9325,China
7790,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-018,Issued,9325,China
7791,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-017,Issued,9325,China
7792,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-016,Issued,9325,China
7793,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-015,Issued,9325,China
7794,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-014,Issued,9325,China
7795,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-013,Issued,9325,China
